t_prot (min),t_left (min),t_right(min),f_left (N),f_right (N),slope (%),speed (km/h),gear
0.00039374,0,0,0.756,3.36,2,14,0
0.00078749,0.00016667,0.00016667,0.64358,3.3319,2,14,0
0.0011812,0.00033334,0.00033334,0.53061,3.3037,2,14,0
0.001575,0.00050001,0.00050001,0.55652,3.3314,2,14,0
0.0019687,0.00066668,0.00066668,0.44057,3.3866,2,14,0
0.0023625,0.00083335,0.00083335,0.46033,3.3569,2,14,0
0.0027562,0.001,0.001,0.53218,3.4094,2,14,0
0.0031499,0.0011667,0.0011667,0.48006,3.3738,2,14,0
0.0035437,0.0013334,0.0013334,0.47018,3.3577,2,14,0
0.0039374,0.0015,0.0015,0.34367,3.3238,2,14,0
0.0043312,0.0016667,0.0016667,0.37197,3.1844,2,14,0
0.0047249,0.0018334,0.0018334,0.32405,3.1008,2,14,0
0.0051187,0.002,0.002,0.24823,2.886,2,14,0
0.0055124,0.0021667,0.0021667,0.22078,2.5715,2,14,0
0.0059061,0.0023334,0.0023334,0.15031,2.1874,2,14,0
0.0062999,0.0025001,0.0025001,0.15378,1.7107,2,14,0
0.0066936,0.0026667,0.0026667,0.20143,1.2214,2,14,0
0.0070874,0.0028334,0.0028334,0.18903,1.0315,2,14,0
0.0074811,0.0030001,0.0030001,0.12479,0.9328,2,14,0
0.0078749,0.0031667,0.0031667,0.17128,0.86094,2,14,0
0.0082686,0.0033334,0.0033334,0.12818,0.79847,2,14,0
0.0086623,0.0035001,0.0035001,0.14029,0.81417,2,14,0
0.0090561,0.0036668,0.0036668,0.096401,0.71406,2,14,0
0.0094498,0.0038334,0.0038334,0.038668,0.67326,2,14,0
0.0098436,0.0040001,0.0040001,0.0099116,0.66446,2,14,0
0.010237,0.0041668,0.0041668,0.036374,0.57913,2,14,0
0.010631,0.0043334,0.0043334,0.14764,0.55659,2,14,0
0.011025,0.0045001,0.0045001,0.39937,0.55073,2,14,0
0.011419,0.0046668,0.0046668,0.73517,0.55858,2,14,0
0.011812,0.0048335,0.0048335,1.043,0.46548,2,14,0
0.012206,0.0050001,0.0050001,1.2107,0.57193,2,14,0
0.0126,0.0051668,0.0051668,1.2101,0.50531,2,14,0
0.012994,0.0053335,0.0053335,1.2089,0.44221,2,14,0
0.013387,0.0055001,0.0055001,1.1784,0.45574,2,14,0
0.013781,0.0056668,0.0056668,1.0628,0.42759,2,14,0
0.014175,0.0058335,0.0058335,1.1686,0.37845,2,14,0
0.014568,0.0060001,0.0060001,0.99643,0.38027,2,14,0
0.014962,0.0061668,0.0061668,0.71568,0.31983,2,14,0
0.015356,0.0063335,0.0063335,0.37946,0.36745,2,14,0
0.01575,0.0065002,0.0065002,0.18332,0.32319,2,14,0
0.016143,0.0066668,0.0066668,-0.012741,0.29528,2,14,0
0.016537,0.0068335,0.0068335,-0.040777,0.25391,2,14,0
0.016931,0.0070002,0.0070002,-0.068769,0.26291,2,14,0
0.017325,0.0071668,0.0071668,-0.040711,0.28201,2,14,0
0.017718,0.0073335,0.0073335,-0.096459,0.16891,2,14,0
0.018112,0.0075002,0.0075002,-0.067901,0.25099,2,14,0
0.018506,0.0076669,0.0076669,-0.066714,0.1925,2,14,0
0.0189,0.0078335,0.0078335,-0.092366,0.16224,2,14,0
0.019293,0.0080002,0.0080002,-0.034642,0.30146,2,14,0
0.019687,0.0081669,0.0081669,-0.005847,0.21606,2,14,0
0.020081,0.0083335,0.0083335,-0.11701,0.26984,2,14,0
0.020475,0.0085002,0.0085002,-0.032127,0.21094,2,14,0
0.020868,0.0086669,0.0086669,-0.086389,0.20594,2,14,0
0.021262,0.0088335,0.0088335,-0.028969,0.17382,2,14,0
0.021656,0.0090002,0.0090002,0.054972,0.14322,2,14,0
0.02205,0.0091669,0.0091669,-0.0010755,0.16596,2,14,0
0.022443,0.0093336,0.0093336,0.082421,0.18904,2,14,0
0.022837,0.0095002,0.0095002,0.081282,0.2136,2,14,0
0.023231,0.0096669,0.0096669,0.024248,0.20799,2,14,0
0.023625,0.0098336,0.0098336,0.050041,0.14936,2,14,0
0.024018,0.01,0.01,0.075216,0.1456,2,14,0
0.024412,0.010167,0.010167,0.043149,0.13912,2,14,0
0.024806,0.010334,0.010334,0.15439,0.10772,2,14,0
0.0252,0.0105,0.0105,0.096845,0.19051,2,14,0
0.025593,0.010667,0.010667,0.17953,0.10547,2,14,0
0.025987,0.010834,0.010834,0.14876,0.13129,2,14,0
